Date,"LT COMPOSITE (>10 Yrs)","TREASURY 20-Yr CMT"
12/31/2020,1.46,1.45
12/30/2020,1.47,1.46
12/29/2020,1.48,1.47
12/28/2020,1.47,1.46
12/24/2020,1.47,1.46
12/23/2020,1.50,1.49
12/22/2020,1.46,1.45
12/21/2020,1.49,1.48
12/18/2020,1.50,1.49
12/17/2020,1.49,1.47
12/16/2020,1.47,1.46
12/15/2020,1.46,1.45
12/14/2020,1.44,1.43
12/11/2020,1.43,1.42
12/10/2020,1.45,1.44
12/09/2020,1.49,1.48
12/08/2020,1.47,1.46
12/07/2020,1.49,1.49
12/04/2020,1.54,1.53
12/03/2020,1.47,1.46
12/02/2020,1.51,1.50
12/01/2020,1.47,1.46
11/30/2020,1.38,1.37
11/27/2020,1.38,1.36
11/25/2020,1.43,1.41
11/24/2020,1.41,1.40
11/23/2020,1.37,1.36
11/20/2020,1.34,1.33
11/19/2020,1.38,1.38
11/18/2020,1.42,1.42
11/17/2020,1.42,1.40
11/16/2020,1.46,1.44
11/13/2020,1.44,1.43
11/12/2020,1.43,1.42
11/10/2020,1.54,1.53
11/09/2020,1.53,1.51
11/06/2020,1.39,1.37
11/05/2020,1.33,1.32
11/04/2020,1.34,1.33
11/03/2020,1.45,1.44
11/02/2020,1.43,1.41
10/30/2020,1.45,1.43
10/29/2020,1.41,1.39
10/28/2020,1.36,1.34
10/27/2020,1.36,1.34
10/26/2020,1.39,1.37
10/23/2020,1.44,1.41
10/22/2020,1.46,1.43
10/21/2020,1.42,1.40
10/20/2020,1.40,1.37
10/19/2020,1.35,1.32
10/16/2020,1.33,1.30
10/15/2020,1.32,1.29
10/14/2020,1.31,1.28
10/13/2020,1.32,1.29
10/09/2020,1.37,1.34
10/08/2020,1.37,1.34
10/07/2020,1.40,1.37
10/06/2020,1.36,1.33
10/05/2020,1.38,1.34
10/02/2020,1.29,1.25
10/01/2020,1.26,1.23
09/30/2020,1.27,1.23
09/29/2020,1.23,1.19
09/28/2020,1.23,1.20
09/25/2020,1.22,1.19
09/24/2020,1.22,1.19
09/23/2020,1.24,1.21
09/22/2020,1.24,1.21
09/21/2020,1.25,1.22
09/18/2020,1.27,1.24
09/17/2020,1.25,1.22
09/16/2020,1.26,1.23
09/15/2020,1.24,1.21
09/14/2020,1.24,1.21
09/11/2020,1.24,1.21
09/10/2020,1.24,1.22
09/09/2020,1.28,1.25
09/08/2020,1.25,1.22
09/04/2020,1.29,1.25
09/03/2020,1.17,1.13
09/02/2020,1.21,1.16
09/01/2020,1.25,1.20
08/31/2020,1.31,1.26
08/28/2020,1.35,1.29
08/27/2020,1.33,1.28
08/26/2020,1.25,1.20
08/25/2020,1.23,1.18
08/24/2020,1.19,1.14
08/21/2020,1.18,1.13
08/20/2020,1.21,1.15
08/19/2020,1.25,1.20
08/18/2020,1.23,1.16
08/17/2020,1.26,1.19
08/14/2020,1.27,1.21
08/13/2020,1.25,1.20
08/12/2020,1.21,1.15
08/11/2020,1.16,1.10
08/10/2020,1.09,1.04
08/07/2020,1.07,1.01
08/06/2020,1.03,0.98
08/05/2020,1.06,1.00
08/04/2020,1.02,0.96
08/03/2020,1.07,1.01
07/31/2020,1.04,0.98
07/30/2020,1.04,0.98
07/29/2020,1.09,1.03
07/28/2020,1.07,1.01
07/27/2020,1.10,1.05
07/24/2020,1.08,1.03
07/23/2020,1.09,1.03
07/22/2020,1.13,1.08
07/21/2020,1.14,1.09
07/20/2020,1.16,1.10
07/17/2020,1.17,1.11
07/16/2020,1.15,1.09
07/15/2020,1.17,1.11
07/14/2020,1.15,1.09
07/13/2020,1.17,1.11
07/10/2020,1.18,1.12
07/09/2020,1.15,1.09
07/08/2020,1.23,1.16
07/07/2020,1.21,1.15
07/06/2020,1.28,1.21
07/02/2020,1.26,1.20
07/01/2020,1.27,1.20
06/30/2020,1.25,1.18
06/29/2020,1.22,1.16
06/26/2020,1.21,1.15
06/25/2020,1.26,1.20
06/24/2020,1.28,1.21
06/23/2020,1.32,1.25
06/22/2020,1.30,1.23
06/19/2020,1.30,1.23
06/18/2020,1.30,1.24
06/17/2020,1.36,1.30
06/16/2020,1.37,1.31
06/15/2020,1.30,1.24
06/12/2020,1.30,1.24
06/11/2020,1.25,1.19
06/10/2020,1.37,1.31
06/09/2020,1.43,1.37
06/08/2020,1.49,1.43
06/05/2020,1.52,1.46
06/04/2020,1.45,1.38
06/03/2020,1.39,1.32
06/02/2020,1.32,1.24
06/01/2020,1.30,1.22
05/29/2020,1.26,1.18
05/28/2020,1.31,1.23
05/27/2020,1.27,1.19
05/26/2020,1.28,1.19
05/22/2020,1.22,1.12
05/21/2020,1.24,1.16
05/20/2020,1.25,1.19
05/19/2020,1.28,1.15
05/18/2020,1.29,1.17
05/15/2020,1.17,1.05
05/14/2020,1.14,1.03
05/13/2020,1.19,1.07
05/12/2020,1.23,1.11
05/11/2020,1.28,1.16
05/08/2020,1.25,1.12
05/07/2020,1.17,1.05
05/06/2020,1.27,1.16
05/05/2020,1.19,1.07
05/04/2020,1.16,1.05
05/01/2020,1.14,1.04
04/30/2020,1.16,1.05
04/29/2020,1.13,1.02
04/28/2020,1.10,1.00
04/27/2020,1.15,1.06
04/24/2020,1.07,0.98
04/23/2020,1.08,0.99
04/22/2020,1.11,1.03
04/21/2020,1.06,0.98
04/20/2020,1.12,1.04
04/17/2020,1.16,1.08
04/16/2020,1.09,1.01
04/15/2020,1.14,1.06
04/14/2020,1.28,1.19
04/13/2020,1.27,1.19
04/09/2020,1.23,1.15
04/08/2020,1.26,1.18
04/07/2020,1.21,1.13
04/06/2020,1.17,1.08
04/03/2020,1.14,1.05
04/02/2020,1.15,1.04
04/01/2020,1.15,1.04
03/31/2020,1.26,1.15
03/30/2020,1.21,1.10
03/27/2020,1.19,1.09
03/26/2020,1.32,1.20
03/25/2020,1.35,1.23
03/24/2020,1.30,1.19
03/23/2020,1.25,1.12
03/20/2020,1.49,1.35
03/19/2020,1.72,1.56
03/18/2020,1.74,1.60
03/17/2020,1.56,1.45
03/16/2020,1.24,1.10
03/13/2020,1.46,1.31
03/12/2020,1.41,1.27
03/11/2020,1.27,1.13
03/10/2020,1.27,1.16
03/09/2020,0.97,0.87
03/06/2020,1.18,1.09
03/05/2020,1.45,1.34
03/04/2020,1.56,1.45
03/03/2020,1.54,1.44
03/02/2020,1.56,1.46
02/28/2020,1.56,1.46
02/27/2020,1.70,1.61
02/26/2020,1.73,1.64
02/25/2020,1.71,1.63
02/24/2020,1.76,1.68
02/21/2020,1.83,1.75
02/20/2020,1.89,1.81
02/19/2020,1.93,1.86
02/18/2020,1.93,1.85
02/14/2020,1.97,1.89
02/13/2020,1.99,1.91
02/12/2020,2.01,1.93
02/11/2020,1.97,1.89
02/10/2020,1.95,1.87
02/07/2020,1.97,1.89
02/06/2020,2.02,1.94
02/05/2020,2.05,1.97
02/04/2020,2.00,1.91
02/03/2020,1.92,1.84
01/31/2020,1.91,1.83
01/30/2020,1.96,1.88
01/29/2020,1.97,1.89
01/28/2020,2.02,1.95
01/27/2020,1.98,1.91
01/24/2020,2.07,2.00
01/23/2020,2.10,2.03
01/22/2020,2.14,2.07
01/21/2020,2.16,2.10
01/17/2020,2.23,2.16
01/16/2020,2.18,2.11
01/15/2020,2.16,2.09
01/14/2020,2.20,2.12
01/13/2020,2.23,2.16
01/10/2020,2.21,2.14
01/09/2020,2.24,2.17
01/08/2020,2.28,2.21
01/07/2020,2.23,2.16
01/06/2020,2.20,2.13
01/03/2020,2.18,2.11
