Date,"4 WEEKS BANK DISCOUNT","4 WEEKS COUPON EQUIVALENT","8 WEEKS BANK DISCOUNT","8 WEEKS COUPON EQUIVALENT","13 WEEKS BANK DISCOUNT","13 WEEKS COUPON EQUIVALENT","26 WEEKS BANK DISCOUNT","26 WEEKS COUPON EQUIVALENT","52 WEEKS BANK DISCOUNT","52 WEEKS COUPON EQUIVALENT"
12/31/2021,0.06,0.06,0.05,0.05,0.06,0.06,0.19,0.19,0.38,0.39
12/30/2021,0.06,0.06,0.06,0.06,0.05,0.05,0.19,0.19,0.37,0.38
12/29/2021,0.01,0.01,0.02,0.02,0.05,0.05,0.19,0.19,0.38,0.39
12/28/2021,0.03,0.03,0.04,0.04,0.06,0.06,0.20,0.20,0.38,0.39
12/27/2021,0.04,0.04,0.05,0.05,0.06,0.06,0.21,0.21,0.30,0.30
12/23/2021,0.04,0.04,0.05,0.05,0.08,0.08,0.18,0.18,0.28,0.28
12/22/2021,0.03,0.03,0.04,0.04,0.08,0.08,0.16,0.16,0.26,0.26
12/21/2021,0.03,0.03,0.04,0.04,0.07,0.07,0.16,0.16,0.26,0.26
12/20/2021,0.03,0.03,0.05,0.05,0.07,0.07,0.16,0.16,0.25,0.25
12/17/2021,0.03,0.03,0.04,0.04,0.05,0.05,0.13,0.13,0.25,0.25
12/16/2021,0.04,0.04,0.06,0.06,0.05,0.05,0.13,0.13,0.25,0.25
12/15/2021,0.03,0.03,0.05,0.05,0.06,0.06,0.13,0.13,0.27,0.27
12/14/2021,0.01,0.01,0.05,0.05,0.05,0.05,0.13,0.13,0.25,0.25
12/13/2021,0.01,0.01,0.05,0.05,0.05,0.05,0.11,0.11,0.25,0.25
12/10/2021,0.03,0.03,0.06,0.06,0.06,0.06,0.13,0.13,0.26,0.26
12/09/2021,0.03,0.03,0.06,0.06,0.06,0.06,0.12,0.12,0.26,0.26
12/08/2021,0.04,0.04,0.05,0.05,0.07,0.07,0.13,0.13,0.28,0.28
12/07/2021,0.05,0.05,0.06,0.06,0.06,0.06,0.15,0.15,0.30,0.30
12/06/2021,0.05,0.05,0.05,0.05,0.06,0.06,0.13,0.13,0.27,0.27
12/03/2021,0.04,0.04,0.05,0.05,0.06,0.06,0.09,0.09,0.25,0.25
12/02/2021,0.05,0.05,0.05,0.05,0.05,0.05,0.09,0.09,0.26,0.26
12/01/2021,0.10,0.10,0.04,0.04,0.06,0.06,0.10,0.10,0.25,0.25
