Date,"LT Real Average (10> Yrs)"
12/31/2021,-0.52
12/30/2021,-0.51
12/29/2021,-0.45
12/28/2021,-0.48
12/27/2021,-0.50
12/23/2021,-0.45
12/22/2021,-0.50
12/21/2021,-0.46
12/20/2021,-0.43
12/17/2021,-0.44
12/16/2021,-0.42
12/15/2021,-0.42
12/14/2021,-0.44
12/13/2021,-0.47
12/10/2021,-0.44
12/09/2021,-0.48
12/08/2021,-0.50
12/07/2021,-0.53
12/06/2021,-0.57
12/03/2021,-0.63
12/02/2021,-0.61
12/01/2021,-0.56
11/30/2021,-0.58
11/29/2021,-0.51
11/26/2021,-0.55
11/24/2021,-0.46
11/23/2021,-0.43
11/22/2021,-0.49
11/19/2021,-0.60
11/18/2021,-0.56
11/17/2021,-0.51
11/16/2021,-0.50
11/15/2021,-0.56
11/12/2021,-0.59
11/10/2021,-0.60
11/09/2021,-0.64
11/08/2021,-0.58
11/05/2021,-0.53
11/04/2021,-0.46
11/03/2021,-0.38
11/02/2021,-0.40
11/01/2021,-0.36
10/29/2021,-0.38
10/28/2021,-0.46
10/27/2021,-0.56
10/26/2021,-0.48
10/25/2021,-0.43
10/22/2021,-0.42
10/21/2021,-0.40
10/20/2021,-0.36
10/19/2021,-0.36
10/18/2021,-0.43
10/15/2021,-0.42
10/14/2021,-0.44
10/13/2021,-0.42
10/12/2021,-0.34
10/08/2021,-0.31
10/07/2021,-0.31
10/06/2021,-0.34
10/05/2021,-0.33
10/04/2021,-0.34
10/01/2021,-0.34
09/30/2021,-0.29
09/29/2021,-0.28
09/28/2021,-0.31
09/27/2021,-0.35
09/24/2021,-0.34
09/23/2021,-0.39
09/22/2021,-0.44
09/21/2021,-0.43
09/20/2021,-0.44
09/17/2021,-0.42
09/16/2021,-0.45
09/15/2021,-0.46
09/14/2021,-0.48
09/13/2021,-0.45
09/10/2021,-0.45
09/09/2021,-0.47
09/08/2021,-0.41
09/07/2021,-0.36
09/03/2021,-0.39
09/02/2021,-0.42
09/01/2021,-0.42
08/31/2021,-0.41
08/30/2021,-0.45
08/27/2021,-0.46
08/26/2021,-0.39
08/25/2021,-0.37
08/24/2021,-0.40
08/23/2021,-0.42
08/20/2021,-0.41
08/19/2021,-0.43
08/18/2021,-0.40
08/17/2021,-0.40
08/16/2021,-0.43
08/13/2021,-0.42
08/12/2021,-0.38
08/11/2021,-0.40
08/10/2021,-0.40
08/09/2021,-0.40
08/06/2021,-0.41
08/05/2021,-0.45
08/04/2021,-0.49
08/03/2021,-0.49
08/02/2021,-0.48
07/30/2021,-0.47
07/29/2021,-0.47
07/28/2021,-0.47
07/27/2021,-0.47
07/26/2021,-0.47
07/23/2021,-0.42
07/22/2021,-0.39
07/21/2021,-0.36
07/20/2021,-0.40
07/19/2021,-0.44
07/16/2021,-0.40
07/15/2021,-0.39
07/14/2021,-0.35
07/13/2021,-0.33
07/12/2021,-0.35
07/09/2021,-0.33
07/08/2021,-0.35
07/07/2021,-0.38
07/06/2021,-0.36
07/02/2021,-0.32
07/01/2021,-0.30
06/30/2021,-0.30
06/29/2021,-0.27
06/28/2021,-0.28
06/25/2021,-0.23
06/24/2021,-0.25
06/23/2021,-0.26
06/22/2021,-0.26
06/21/2021,-0.21
06/18/2021,-0.29
06/17/2021,-0.24
06/16/2021,-0.21
06/15/2021,-0.26
06/14/2021,-0.26
06/11/2021,-0.25
06/10/2021,-0.27
06/09/2021,-0.22
06/08/2021,-0.21
06/07/2021,-0.18
06/04/2021,-0.20
06/03/2021,-0.15
06/02/2021,-0.18
06/01/2021,-0.18
05/28/2021,-0.19
05/27/2021,-0.15
05/26/2021,-0.16
05/25/2021,-0.18
05/24/2021,-0.14
05/21/2021,-0.10
05/20/2021,-0.10
05/19/2021,-0.10
05/18/2021,-0.14
05/17/2021,-0.16
05/14/2021,-0.15
05/13/2021,-0.11
05/12/2021,-0.10
05/11/2021,-0.14
05/10/2021,-0.17
05/07/2021,-0.16
05/06/2021,-0.16
05/05/2021,-0.18
05/04/2021,-0.12
05/03/2021,-0.11
04/30/2021,-0.10
04/29/2021,-0.11
04/28/2021,-0.13
04/27/2021,-0.12
04/26/2021,-0.14
04/23/2021,-0.12
04/22/2021,-0.12
04/21/2021,-0.10
04/20/2021,-0.07
04/19/2021,-0.07
04/16/2021,-0.10
04/15/2021,-0.11
04/14/2021,-0.02
04/13/2021,-0.02
04/12/2021,0.01
04/09/2021,0.02
04/08/2021,-0.02
04/07/2021,0.00
04/06/2021,-0.02
04/05/2021,-0.01
04/02/2021,-0.04
04/01/2021,-0.04
03/31/2021,-0.01
03/30/2021,-0.03
03/29/2021,-0.02
03/26/2021,-0.06
03/25/2021,-0.08
03/24/2021,-0.09
03/23/2021,-0.07
03/22/2021,-0.04
03/19/2021,0.05
03/18/2021,0.07
03/17/2021,0.02
03/16/2021,-0.01
03/15/2021,0.01
03/12/2021,0.07
03/11/2021,-0.07
03/10/2021,-0.10
03/09/2021,-0.04
