Date,"4 WEEKS BANK DISCOUNT","4 WEEKS COUPON EQUIVALENT","8 WEEKS BANK DISCOUNT","8 WEEKS COUPON EQUIVALENT","13 WEEKS BANK DISCOUNT","13 WEEKS COUPON EQUIVALENT","17 WEEKS BANK DISCOUNT","17 WEEKS COUPON EQUIVALENT","26 WEEKS BANK DISCOUNT","26 WEEKS COUPON EQUIVALENT","52 WEEKS BANK DISCOUNT","52 WEEKS COUPON EQUIVALENT"
11/02/2023,5.29,5.40,5.30,5.43,5.28,5.44,5.32,5.51,5.29,5.53,5.09,5.38
11/01/2023,5.29,5.40,5.31,5.44,5.31,5.47,5.33,5.52,5.30,5.54,5.08,5.37
10/31/2023,5.29,5.40,5.33,5.46,5.33,5.49,5.34,5.53,5.33,5.57,5.14,5.44
10/30/2023,5.29,5.40,5.33,5.46,5.33,5.49,5.34,5.53,5.32,5.56,5.15,5.43
10/27/2023,5.30,5.41,5.33,5.46,5.32,5.48,5.33,5.52,5.32,5.55,5.13,5.41
10/26/2023,5.30,5.41,5.33,5.46,5.32,5.48,5.33,5.52,5.31,5.55,5.13,5.41
10/25/2023,5.29,5.40,5.33,5.46,5.32,5.48,5.34,5.53,5.33,5.57,5.17,5.46
10/24/2023,5.30,5.41,5.33,5.46,5.31,5.47,5.33,5.52,5.33,5.57,5.16,5.45
10/23/2023,5.31,5.42,5.33,5.46,5.32,5.48,5.32,5.51,5.32,5.56,5.14,5.43
10/20/2023,5.29,5.40,5.32,5.45,5.31,5.47,5.34,5.53,5.31,5.54,5.13,5.42
10/19/2023,5.31,5.42,5.33,5.46,5.33,5.49,5.35,5.54,5.32,5.56,5.16,5.45
10/18/2023,5.30,5.41,5.31,5.44,5.34,5.50,5.35,5.54,5.34,5.58,5.18,5.47
10/17/2023,5.31,5.42,5.33,5.46,5.35,5.51,5.37,5.56,5.36,5.60,5.19,5.49
10/16/2023,5.31,5.42,5.34,5.47,5.34,5.50,5.36,5.55,5.34,5.58,5.14,5.43
10/13/2023,5.33,5.44,5.34,5.47,5.35,5.51,5.35,5.54,5.34,5.58,5.13,5.42
10/12/2023,5.34,5.45,5.35,5.48,5.35,5.51,5.36,5.55,5.35,5.59,5.15,5.44
10/11/2023,5.31,5.42,5.34,5.47,5.34,5.50,5.36,5.55,5.32,5.56,5.10,5.39
10/10/2023,5.33,5.44,5.36,5.49,5.34,5.50,5.36,5.55,5.33,5.57,5.09,5.38
10/06/2023,5.32,5.43,5.36,5.50,5.36,5.52,5.37,5.56,5.35,5.59,5.13,5.42
10/05/2023,5.30,5.41,5.35,5.48,5.34,5.50,5.35,5.54,5.32,5.56,5.10,5.39
10/04/2023,5.29,5.40,5.31,5.44,5.34,5.50,5.35,5.54,5.33,5.57,5.13,5.43
10/03/2023,5.28,5.39,5.33,5.46,5.35,5.51,5.35,5.54,5.34,5.58,5.18,5.48
10/02/2023,5.29,5.40,5.33,5.46,5.35,5.51,5.35,5.54,5.34,5.58,5.22,5.51
09/29/2023,5.29,5.40,5.33,5.46,5.32,5.48,5.34,5.53,5.32,5.55,5.19,5.48
09/28/2023,5.29,5.40,5.34,5.47,5.32,5.48,5.34,5.53,5.32,5.56,5.19,5.48
09/27/2023,5.30,5.41,5.32,5.45,5.34,5.50,5.35,5.54,5.33,5.57,5.21,5.50
09/26/2023,5.30,5.41,5.31,5.44,5.34,5.50,5.34,5.53,5.32,5.56,5.18,5.47
09/25/2023,5.30,5.41,5.31,5.44,5.35,5.51,5.34,5.53,5.31,5.55,5.17,5.46
09/22/2023,5.29,5.40,5.31,5.44,5.32,5.48,5.34,5.53,5.32,5.55,5.17,5.46
09/21/2023,5.29,5.40,5.31,5.44,5.33,5.49,5.34,5.53,5.31,5.55,5.17,5.46
09/20/2023,5.29,5.40,5.30,5.43,5.33,5.49,5.34,5.53,5.30,5.54,5.18,5.47
09/19/2023,5.29,5.40,5.30,5.43,5.31,5.47,5.33,5.52,5.30,5.54,5.16,5.45
09/18/2023,5.29,5.40,5.29,5.42,5.31,5.47,5.33,5.52,5.30,5.54,5.15,5.44
09/15/2023,5.28,5.39,5.29,5.42,5.32,5.48,5.33,5.52,5.29,5.52,5.14,5.43
09/14/2023,5.28,5.39,5.30,5.43,5.31,5.47,5.32,5.51,5.29,5.53,5.13,5.42
09/13/2023,5.28,5.39,5.30,5.43,5.31,5.47,5.33,5.52,5.31,5.55,5.13,5.42
09/12/2023,5.28,5.39,5.29,5.42,5.32,5.48,5.31,5.49,5.32,5.56,5.13,5.42
09/11/2023,5.28,5.39,5.30,5.43,5.32,5.48,5.32,5.51,5.30,5.54,5.11,5.40
09/08/2023,5.28,5.39,5.29,5.42,5.31,5.47,5.33,5.52,5.29,5.52,5.13,5.43
09/07/2023,5.28,5.39,5.29,5.42,5.30,5.46,5.32,5.51,5.29,5.53,5.11,5.40
09/06/2023,5.28,5.39,5.29,5.42,5.31,5.47,5.33,5.52,5.31,5.55,5.14,5.44
09/05/2023,5.27,5.38,5.29,5.42,5.32,5.48,5.32,5.50,5.31,5.55,5.13,5.43
09/01/2023,5.28,5.39,5.29,5.42,5.30,5.46,5.32,5.51,5.27,5.50,5.10,5.38
08/31/2023,5.28,5.39,5.28,5.41,5.32,5.48,5.34,5.53,5.28,5.51,5.11,5.39
08/30/2023,5.29,5.40,5.29,5.42,5.32,5.48,5.33,5.52,5.30,5.54,5.13,5.42
08/29/2023,5.27,5.38,5.29,5.42,5.33,5.49,5.33,5.52,5.31,5.55,5.11,5.39
08/28/2023,5.29,5.40,5.29,5.42,5.34,5.50,5.36,5.55,5.35,5.59,5.17,5.46
08/25/2023,5.29,5.40,5.29,5.42,5.34,5.50,5.35,5.54,5.34,5.58,5.16,5.45
08/24/2023,5.28,5.39,5.29,5.42,5.31,5.47,5.34,5.53,5.33,5.57,5.12,5.41
08/23/2023,5.28,5.39,5.28,5.41,5.30,5.46,5.32,5.51,5.28,5.52,5.08,5.36
08/22/2023,5.27,5.38,5.29,5.42,5.30,5.46,5.31,5.49,5.30,5.54,5.11,5.40
08/21/2023,5.28,5.39,5.29,5.42,5.30,5.46,5.31,5.49,5.31,5.55,5.09,5.38
08/18/2023,5.27,5.38,5.28,5.41,5.28,5.44,5.30,5.48,5.26,5.49,5.07,5.36
08/17/2023,5.28,5.39,5.28,5.41,5.29,5.45,5.31,5.49,5.27,5.50,5.08,5.37
08/16/2023,5.26,5.37,5.28,5.41,5.29,5.45,5.30,5.48,5.28,5.52,5.09,5.38
08/15/2023,5.27,5.38,5.28,5.41,5.29,5.45,5.28,5.46,5.28,5.52,5.08,5.37
08/14/2023,5.28,5.39,5.29,5.42,5.29,5.45,5.30,5.48,5.29,5.53,5.08,5.37
