date,open,high,low,close,volume,adjusted_close,change_percent,avg_vol_20d
1993-01-29,43.8595,43.9688,43.75,43.9375,1003200,24.937,,
1993-02-01,43.9688,44.25,43.9688,44.25,480500,25.1144,0.71,
1993-02-02,44.2188,44.375,44.125,44.3438,201300,25.1676,0.21,
1993-02-03,44.4063,44.8438,44.375,44.8125,529400,25.4337,1.06,
1993-02-04,44.9688,45.0938,44.875,45.0,531500,25.5401,0.42,
1993-02-05,44.9688,45.0625,44.7188,44.9688,492100,25.5223,-0.07,
1993-02-08,44.9688,45.125,44.9063,44.9688,596100,25.5223,0.0,
1993-02-09,44.8125,44.8125,44.5625,44.6563,122100,25.345,-0.69,
1993-02-10,44.6563,44.75,44.5313,44.7188,379600,25.3804,0.14,
1993-02-11,44.7813,45.125,44.7813,44.9375,19500,25.5046,0.49,
1993-02-12,44.875,44.875,44.5938,44.5938,42500,25.3095,-0.76,
1993-02-16,44.4688,44.4688,43.4063,43.4688,374800,24.671,-2.52,
1993-02-17,43.4688,43.5313,43.2813,43.4375,210900,24.6533,-0.07,
1993-02-18,43.9375,43.9375,42.8125,43.4063,378100,24.6355,-0.07,
1993-02-19,43.4063,43.5625,43.3438,43.5625,34900,24.7242,0.36,
1993-02-22,43.6875,43.7813,43.5625,43.7188,513600,24.8129,0.36,
1993-02-23,43.8438,43.875,43.4688,43.6875,373700,24.7952,-0.07,
1993-02-24,43.7188,44.25,43.7188,44.25,26300,25.1144,1.29,
1993-02-25,44.2188,44.375,44.125,44.3438,44500,25.1676,0.21,
1993-02-26,44.4375,44.4375,44.1875,44.4063,66200,25.2031,0.14,321040.0
1993-03-01,44.5625,44.5625,44.2188,44.2813,66500,25.1321,-0.28,274205.0
1993-03-02,44.3125,44.9375,44.25,44.9375,182400,25.5046,1.48,259300.0
1993-03-03,45.0,45.1563,44.9375,45.125,280100,25.611,0.42,263240.0
1993-03-04,45.1875,45.1875,44.875,44.875,89500,25.4691,-0.55,241245.0
1993-03-05,44.9375,45.125,44.7188,44.75,40000,25.3982,-0.28,216670.0
1993-03-08,44.8438,45.75,44.8438,45.75,50800,25.9657,2.23,194605.0
1993-03-09,45.6563,45.6875,45.5,45.5938,169300,25.8771,-0.34,173265.0
1993-03-10,45.5938,45.6875,45.4063,45.6875,194400,25.9303,0.21,176880.0
1993-03-11,45.7188,45.8438,45.5,45.5625,70900,25.8593,-0.27,161445.0
1993-03-12,45.1875,45.2188,44.8125,45.0938,643600,25.5933,-1.03,192650.0
1993-03-15,45.0625,45.3125,45.0625,45.3125,310800,25.7174,0.48,206065.0
1993-03-16,45.3125,45.4375,45.3125,45.3125,30800,25.7174,0.0,188865.0
1993-03-17,45.25,45.25,44.9688,45.0313,21800,25.5578,-0.62,179410.0
1993-03-18,45.2188,45.5,45.2188,45.3125,59300,25.7174,0.62,163470.0
1993-03-19,45.2813,45.2813,45.0313,45.0313,66900,25.6768,-0.16,165070.0
1993-03-22,44.5938,44.875,44.5625,44.7813,183400,25.5343,-0.55,148560.0
1993-03-23,44.9063,44.9375,44.8125,44.875,55200,25.5877,0.21,132635.0
